,network,experiment,cellType,data,design,method,designANDmethod,expDesign,combination,numberOfDiffExp,numberOfNodes,connectivity
0,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X45,16,9,0.0
1,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X708,17,12,0.33333333333333337
2,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X850,24,12,0.0
3,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1774,17,14,0.0
4,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X955,23,13,0.0
5,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1164,25,14,0.0
6,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X533,18,9,0.0
7,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1515,22,9,0.0
8,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X960,22,14,0.0
9,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X715,15,12,0.0
10,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1942,19,12,0.0
11,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1165,17,11,0.0
12,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X739,26,16,0.0
13,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1806,25,16,0.0
14,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X419,12,9,0.0
15,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X552,12,7,0.0
16,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X187,14,11,0.0
17,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1323,18,8,0.0
18,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X88,8,5,0.0
19,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X943,25,13,0.0
20,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1234,15,7,0.0
21,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1976,17,12,0.16666666666666663
22,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X773,12,6,0.0
23,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1498,13,10,0.0
24,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X849,24,10,0.0
25,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X656,16,10,0.4
26,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X144,11,10,0.19999999999999996
27,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1892,22,12,0.0
28,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1254,20,9,0.0
29,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1115,9,4,
30,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1384,17,6,0.0
31,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1748,13,9,0.0
32,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X325,17,11,0.0
33,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X795,18,11,0.0
34,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1548,23,14,0.0
35,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X274,13,9,0.0
36,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X296,9,2,
37,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1805,17,10,0.0
38,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1928,17,13,0.0
39,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1724,25,15,0.0
40,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1144,16,7,0.0
41,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X982,23,10,0.0
42,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1882,17,13,0.0
43,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X136,11,10,0.0
44,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1856,19,11,0.0
45,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X802,13,8,0.0
46,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X428,20,11,0.0
47,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X575,24,9,0.0
48,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X707,19,12,0.0
49,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X889,23,9,0.0
50,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1060,17,10,0.0
51,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1684,21,16,0.125
52,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X762,19,10,0.0
53,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X60,14,8,0.0
54,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1433,22,15,0.0
55,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1894,13,12,0.0
56,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1091,29,13,0.15384615384615385
57,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1608,10,6,0.0
58,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1570,20,14,0.1428571428571429
59,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X499,18,11,0.0
60,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X156,7,7,0.0
61,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1904,20,11,0.0
62,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1973,18,13,0.0
63,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1056,18,11,0.0
64,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1835,19,9,0.0
65,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1931,15,12,0.0
66,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1944,22,16,0.125
67,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1226,14,7,0.0
68,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X649,14,12,0.0
69,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X299,13,8,0.0
70,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1844,18,14,0.1428571428571429
71,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X473,21,10,0.19999999999999996
72,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X452,19,15,0.1333333333333333
73,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X631,19,10,0.0
74,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1474,24,12,0.0
75,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1745,20,9,0.0
76,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X925,20,13,0.0
77,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1840,17,11,0.18181818181818177
78,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X555,20,16,0.0
79,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1496,19,11,0.0
80,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X877,11,9,0.0
81,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1104,29,13,0.0
82,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1287,15,8,0.0
83,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1466,21,15,0.0
84,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X206,10,7,0.0
85,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X244,10,7,0.0
86,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X278,13,7,0.0
87,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X540,16,10,0.0
88,String850,Experiment1,Hacat,Methylation,,Champ,Champ,Y-X,X1804,22,13,0.0
