"","logFC","AveExpr","t","P.Value","adj.P.Val","B","1st_AVG","2nd_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_Islands_Name","SNP_ID","SNP_DISTANCE","dna_meth"
"cg06638795",0.604658914387829,0.563853932962967,51.9339140209901,7.18696225566779e-11,5.3880666638878e-05,14.8118159551682,0.261524475769052,0.866183390156882,0.604658914387829,"2",42719933,"R","I","KCNG3","Body","island","Body-island","chr2:42719784-42722166","rs554612453;rs574548478","35;14","Hyper"
"cg26669806",0.457896606605039,0.357312937505747,48.2602076923153,1.24455983338807e-10,5.3880666638878e-05,14.4638052593231,0.128364634203228,0.586261240808267,0.457896606605039,"19",18899483,"R","I","COMP","Body","island","Body-island","chr19:18899037-18902284","rs557483957;rs571462337","22;9","Hyper"
"cg01331530",0.104659081484413,0.112031472909509,23.3756515765251,2.7697791274468e-08,0.00599559546377989,9.99809823757854,0.059701932167302,0.164361013651715,0.104659081484413,"8",90914750,"F","I","OSGIN2","TSS200","island","TSS200-island","chr8:90914197-90915340","rs138666179","39","Hyper"
"cg23866866",0.102074474356125,0.546053910346117,22.615016687725,3.53924799341238e-08,0.00612897945665611,9.76059051533097,0.495016673168055,0.597091147524179,0.102074474356125,"2",162274188,"R","II","TBR1","Body","shore","Body-shore","chr2:162273294-162273725","rs564746290;rs116575379","28;27","Hyper"
"cg17837162",-0.120653006565796,0.572127449804594,-20.8393031693053,6.48161694724969e-08,0.00801738052618381,9.16539312090477,0.632453953087492,0.511800946521696,-0.120653006565796,"Y",9340946,"F","I","TSPY4","Body","shelf","Body-shelf","chrY:9343351-9343614","","","Hypo"
"cg03370588",-0.287648230176762,0.188393304162417,-20.2260357936564,8.08185992952269e-08,0.00874718894589573,8.94537396068949,0.332217419250798,0.0445691890740361,-0.287648230176762,"15",52821290,"F","I","MYO5A","TSS200","island","TSS200-island","chr15:52820333-52821639","rs536218711","46","Hypo"
"cg05986449",0.124019242866285,0.721322414530269,15.6920756667063,5.21755085959165e-07,0.0130139523638645,7.03348310368536,0.659312793097126,0.783332035963412,0.124019242866285,"2",157320849,"R","II","GPD2","5'UTR","opensea","5'UTR-opensea","","","","Hyper"
"cg12526869",-0.115186394530915,0.378929636585481,-15.1166031532191,6.8531976040695e-07,0.0130139523638645,6.74741274897244,0.436522833850938,0.321336439320024,-0.115186394530915,"X",37706251,"F","I","DYNLT3","Body","shore","Body-shore","chrX:37706295-37706972","","","Hypo"
"cg24543140",0.104392430334299,0.75580950598357,14.9164845292137,7.55222804325461e-07,0.0130139523638645,6.64518591708296,0.70361329081642,0.80800572115072,0.104392430334299,"10",89755193,"R","II","","IGR","opensea","IGR-opensea","","rs534180744","1","Hyper"
"cg14812623",0.15948840288576,0.340745113244852,14.4941507551502,9.30835528383749e-07,0.0131033364201421,6.42457531059582,0.261000911801972,0.420489314687732,0.15948840288576,"X",129474169,"R","I","SLC25A14","5'UTR","shore","5'UTR-shore","chrX:129473463-129473945","","","Hyper"
"cg16383001",-0.100659032958559,0.343314949762123,-14.1605064250567,1.10249512458821e-06,0.0142478406877735,6.24544326805235,0.393644466241402,0.292985433282843,-0.100659032958559,"1",100435543,"R","I","SLC35A3","5'UTR","island","5'UTR-island","chr1:100435297-100436070","rs575339442","22","Hypo"
"cg17586305",0.122513447349817,0.624285014059194,12.6250423700287,2.5288808906583e-06,0.0162709917885542,5.36047794683981,0.563028290384285,0.685541737734102,0.122513447349817,"16",50387271,"F","II","BRD7","Body","opensea","Body-opensea","","rs66535459;rs536288172;rs79196105","1;15;33","Hyper"
"cg21386995",-0.100180095558329,0.57174908885894,-12.5865240974569,2.58514547459064e-06,0.0162771644495625,5.33689262393104,0.621839136638105,0.521659041079776,-0.100180095558329,"17",27073875,"F","I","TRAF4","Body","shelf","Body-shelf","chr17:27070538-27071570","rs35295113;rs186899273;rs549671874;rs35893948;rs200456365;rs34701581","1;8;21;24;33;36","Hypo"
"cg07912251",0.184217943331184,0.632489072906403,11.9574136588112,3.73671377032873e-06,0.0172099321726759,4.94113318201125,0.540380101240811,0.724598044571995,0.184217943331184,"12",107712194,"R","I","BTBD11","TSS200","island","TSS200-island","chr12:107711603-107714107","","","Hyper"
