"","logFC","AveExpr","t","P.Value","adj.P.Val","B","1st_AVG","2nd_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_Islands_Name","SNP_ID","SNP_DISTANCE","dna_meth"
"cg08149071",-0.417073253549457,0.63977557579234,-47.138325156713,3.03859432976682e-11,2.63099424777756e-05,15.6758495867796,0.848312202567069,0.431238949017612,-0.417073253549457,"15",24815002,"R","II","PWRN1","Body","opensea","Body-opensea","","rs192797399;rs554399994","5;2","Hypo"
"cg13012916",0.554723105435567,0.545166291116673,32.1876631860007,6.75243612198994e-10,0.000203619628135695,13.3521299391315,0.267804738398889,0.822527843834456,0.554723105435567,"14",36973691,"R","I","SFTA3","Body","island","Body-island","chr14:36973169-36973740","","","Hyper"
"cg17021099",-0.138900039031646,0.738910260737187,-32.0142162770075,7.05494641052511e-10,0.000203619628135695,13.3153287947916,0.80836028025301,0.669460241221364,-0.138900039031646,"17",44370270,"R","II","","IGR","opensea","IGR-opensea","","","","Hypo"
"cg12888127",-0.11165807704598,0.220536928332301,-24.6378471814765,5.87426865751043e-09,0.00127157209638083,11.4282208637735,0.276365966855291,0.164707889809311,-0.11165807704598,"12",123011589,"F","I","KNTC1","TSS1500","island","TSS1500-island","chr12:123011261-123011765","rs140496213;rs530431944;rs77079158","14;29;46","Hypo"
"cg23715938",-0.204954671856114,0.813818154817048,-23.6165870888252,8.26552263054196e-09,0.00143135543187169,11.1067376347109,0.916295490745105,0.711340818888991,-0.204954671856114,"6",149836665,"R","II","PPIL4","Body","opensea","Body-opensea","","","","Hypo"
"cg17198230",0.104682076264136,0.24762213306511,21.172878410163,1.99139374400166e-08,0.00287377699297922,10.2605192016743,0.195281094933042,0.299963171197178,0.104682076264136,"11",43597492,"R","I","","IGR","shore","IGR-shore","chr11:43596990-43597336","rs189606797","48","Hyper"
"cg02978184",0.112989760641153,0.25380457609805,18.8711937655562,5.0125090754073e-08,0.00396423721759783,9.34705427985788,0.197309695777474,0.310299456418626,0.112989760641153,"3",123167770,"R","I","ADCY5","TSS1500","island","TSS1500-island","chr3:123166218-123168567","","","Hyper"
"cg22198044",-0.116229619574254,0.247177483114332,-16.308398512237,1.6060375637447e-07,0.00614415805510521,8.16457488079778,0.305292292901459,0.189062673327206,-0.116229619574254,"4",2819614,"R","I","SH3BP2","TSS1500","island","TSS1500-island","chr4:2819499-2820429","","","Hypo"
"cg00339240",-0.103675065375208,0.700120126701374,-13.2361347927416,8.35136921921995e-07,0.0114406527633163,6.44618721214992,0.751957659388977,0.64828259401377,-0.103675065375207,"6",47455902,"R","II","CD2AP","Body","opensea","Body-opensea","","rs58692350","35","Hypo"
"cg24019731",-0.11321131077235,0.490591060202524,-12.9453529769481,9.93871440609888e-07,0.0116290882661491,6.26243833244837,0.547196715588699,0.433985404816349,-0.11321131077235,"4",153862964,"F","II","FHDC1","TSS1500","shelf","TSS1500-shelf","chr4:153857112-153859245","rs540244482;rs62320605;rs187477645;rs544371197","0;1;11;22","Hypo"
"cg13106476",0.102109120369388,0.563549262205697,12.8461423736075,1.05553108289674e-06,0.0118693647779985,6.19878939560872,0.512494702021003,0.614603822390391,0.102109120369388,"6",11542732,"F","II","TMEM170B","Body","shelf","Body-shelf","chr6:11537537-11538929","rs539908168;rs184871064","0;49","Hyper"
"cg08970368",0.129071558702821,0.759808980868866,11.9615652898497,1.84097101533411e-06,0.0123427185717352,5.60856151077086,0.695273201517455,0.824344760220276,0.129071558702822,"14",69660106,"R","II","EXD2","5'UTR","shore","5'UTR-shore","chr14:69658127-69658773","","","Hyper"
"cg02272584",-0.103455585088816,0.646728463400486,-11.2837388173981,2.89296887310306e-06,0.0125539301579165,5.12652640088626,0.698456255944894,0.595000670856077,-0.103455585088816,"Y",8146855,"R","II","","IGR","shore","IGR-shore","chrY:8147877-8148210","","","Hypo"
"cg22968327",-0.101751106333096,0.221349321613172,-10.9774144661333,3.57712653028691e-06,0.0127864458829226,4.89947349524809,0.272224874779719,0.170473768446624,-0.101751106333096,"16",56823421,"R","II","NUP93","Body","opensea","Body-opensea","","rs115684231","1","Hypo"
"cg25362900",0.105434046366204,0.652550703900859,10.8339839518846,3.95810751454014e-06,0.0130201766506779,4.79108453059823,0.599833680717757,0.705267727083961,0.105434046366204,"14",20484705,"F","II","OR4K14","TSS1500","opensea","TSS1500-opensea","","rs12147889","35","Hyper"
"cg04193779",0.120539415591621,0.626523741614042,10.3236526666558,5.72989221666064e-06,0.0136636233472255,4.39419759716949,0.566254033818232,0.686793449409852,0.120539415591621,"Y",9170562,"R","II","TTTY20","Body","shelf","Body-shelf","chrY:9174129-9174443","rs9786194","19","Hyper"
"cg26219497",0.109243408765356,0.768609123451479,10.212139307488,6.22551687296376e-06,0.0136636233472255,4.30505107949199,0.713987419068801,0.823230827834157,0.109243408765356,"15",86244192,"R","I","AKAP13","Body","opensea","Body-opensea","","rs568474617;rs11635418;rs180192;rs570648522","26;16;7;1","Hyper"
"cg25801300",0.123065988311852,0.441243024176258,9.81087348066299,8.44712182580593e-06,0.0147955786137445,3.97671762946154,0.379710030020332,0.502776018332184,0.123065988311852,"2",131975758,"R","II","POTEE","TSS200","opensea","TSS200-opensea","","rs540718007;rs562195337;rs529912420;rs548446405;rs563508269","47;31;6;2;1","Hyper"
"cg15865150",0.137477469743883,0.487541997818276,9.47051974091291,1.10364557896525e-05,0.0163274716861981,3.68856328651997,0.418803262946334,0.556280732690217,0.137477469743883,"3",49757134,"F","I","AMIGO3","5'UTR","island","5'UTR-island","chr3:49755763-49757317","rs146075461;rs572082919","7;35","Hyper"
"cg20104384",-0.102111402193328,0.659718090152281,-8.72361202125819,2.04445154311404e-05,0.0184396538403039,3.02271471165424,0.710773791248944,0.608662389055617,-0.102111402193328,"13",38084879,"F","II","","IGR","opensea","IGR-opensea","","rs560835867","1","Hypo"
"cg18758601",0.158681721013781,0.258205004554312,8.71161247889733,2.0655329443241e-05,0.0185520760264104,3.01162051691797,0.178864144047421,0.337545865061202,0.158681721013781,"12",58255552,"R","II","","IGR","shelf","IGR-shelf","chr12:58258986-58259496","","","Hyper"
"cg23834181",0.107957222918522,0.73397930953784,8.09535269432099,3.55546868760582e-05,0.0204825985521071,2.42375894498234,0.680000698078579,0.787957920997101,0.107957222918521,"Y",17567486,"F","II","","IGR","shore","IGR-shore","chrY:17567579-17568617","","","Hyper"
"cg02936400",0.132192896968196,0.64109538847918,8.08198862224363,3.59890734890539e-05,0.0206278361449036,2.41060428376661,0.574998939995082,0.707191836963278,0.132192896968196,"4",13548678,"R","I","LINC01096","Body","island","Body-island","chr4:13548570-13549956","","","Hyper"
"cg26052730",0.104275727352452,0.779484581602658,7.90577044604683,4.23029636580201e-05,0.0212585036621994,2.23546631116132,0.727346717926432,0.831622445278884,0.104275727352452,"1",248020331,"F","I","TRIM58","TSS200","island","TSS200-island","chr1:248020330-248021252","","","Hyper"
"cg04743872",0.100143005168964,0.646993719355177,7.78827276428963,4.71923919420854e-05,0.0217033395935601,2.11692487743792,0.596922216770695,0.697065221939659,0.100143005168964,"2",230135577,"F","II","PID1","5'UTR","shore","5'UTR-shore","chr2:230135708-230136004","rs370809152;rs561818104","22;38","Hyper"
"cg09410841",-0.125008368309618,0.584468546068371,-7.7056061510383,5.10072112859936e-05,0.0222066761492956,2.03266182412866,0.64697273022318,0.521964361913562,-0.125008368309618,"8",1729607,"R","II","CLN8","3'UTR","shelf","3'UTR-shelf","chr8:1733267-1733929","rs5888910;rs529235902;rs548995371","26;17;6","Hypo"
"cg06638795",0.143322408793026,0.539884411983348,7.49191553086702,6.25503580288647e-05,0.0235361574747443,1.81147513588008,0.468223207586835,0.611545616379861,0.143322408793026,"2",42719933,"R","I","KCNG3","Body","island","Body-island","chr2:42719784-42722166","rs554612453;rs574548478","35;14","Hyper"
"cg12256049",0.111644794734261,0.555381824597469,7.24534951891947,7.96007842639529e-05,0.0250538187793537,1.55005495032673,0.499559427230338,0.611204221964599,0.111644794734261,"2",167035345,"F","II","LOC101929680","Body","opensea","Body-opensea","","rs6722166;rs192822971","1;30","Hyper"
"cg04473167",0.340380274049432,0.498023712057757,7.21516295061563,8.20200607279047e-05,0.0252879715869312,1.51758178006284,0.327833575033041,0.668213849082473,0.340380274049431,"4",49519194,"R","II","","IGR","opensea","IGR-opensea","","rs544598752;rs563161285;rs61798102;rs548715010;rs565519257;rs566899106","50;39;8;4;2;1","Hyper"
"cg17064981",0.160729208018588,0.511506296489494,6.48589736866945,0.00017422025524338,0.0311609535188551,0.700489453474569,0.4311416924802,0.591870900498788,0.160729208018588,"11",126936873,"F","II","","IGR","opensea","IGR-opensea","","rs117219027;rs144605256;rs551035352;rs573399673","0;1;18;45","Hyper"
"cg27611726",-0.10832610085929,0.684607737996427,-6.45468024916402,0.000180172352639878,0.0314699272257204,0.664063417313464,0.738770788426071,0.630444687566782,-0.10832610085929,"Y",6783873,"R","II","TBL1Y","5'UTR","shelf","5'UTR-shelf","chrY:6778574-6780028","","","Hypo"
"cg10785155",-0.127514658490248,0.722121309442204,-6.06192848642922,0.000277715707988245,0.0364337341216657,0.19508141368919,0.785878638687328,0.658363980197081,-0.127514658490248,"4",100079040,"F","II","LOC100507053","Body","opensea","Body-opensea","","rs140960835","1","Hypo"
"cg09699369",0.11300231494777,0.308417329189721,5.77977898188639,0.000383496607266836,0.0401698496986276,-0.154411593882527,0.251916171715836,0.364918486663606,0.11300231494777,"19",16771803,"R","I","C19orf42","TSS1500","island","TSS1500-island","chr19:16770636-16772632","","","Hyper"
"cg21053644",0.110754799985831,0.339627802871903,5.27912011463521,0.000697776203449658,0.0491445179867958,-0.801520935710107,0.284250402878988,0.395005202864819,0.110754799985831,"12",42066448,"R","I","","IGR","opensea","IGR-opensea","","rs111689093;rs568784083;rs536224358;rs554404320;rs409788;rs534443436;rs559198609;rs144308298","38;36;35;21;20;18;17;16","Hyper"
